fips,county,state,variable,estimate,variable_name
36029,Erie County,NY,deaths,65,deaths
36029,Erie County,NY,births,9812,births
36029,Erie County,NY,death_rate,6.624541377904606,death_rate
36047,Kings County,NY,deaths,132,deaths
36047,Kings County,NY,births,38574,births
36047,Kings County,NY,death_rate,3.421994089282937,death_rate
36055,Monroe County,NY,deaths,50,deaths
36055,Monroe County,NY,births,7772,births
36055,Monroe County,NY,death_rate,6.433350488934638,death_rate
36059,Nassau County,NY,deaths,41,deaths
36059,Nassau County,NY,births,14128,births
36059,Nassau County,NY,death_rate,2.9020385050962627,death_rate
36061,New York County,NY,deaths,41,deaths
36061,New York County,NY,births,17020,births
36061,New York County,NY,death_rate,2.408930669800235,death_rate
36067,Onondaga County,NY,deaths,33,deaths
36067,Onondaga County,NY,births,5236,births
36067,Onondaga County,NY,death_rate,6.302521008403361,death_rate
36071,Orange County,NY,deaths,19,deaths
36071,Orange County,NY,births,5065,births
36071,Orange County,NY,death_rate,3.751233958538993,death_rate
36081,Queens County,NY,deaths,103,deaths
36081,Queens County,NY,births,28042,births
36081,Queens County,NY,death_rate,3.673061835817702,death_rate
36085,Richmond County,NY,deaths,24,deaths
36085,Richmond County,NY,births,5186,births
36085,Richmond County,NY,death_rate,4.627844195912071,death_rate
36087,Rockland County,NY,deaths,13,deaths
36087,Rockland County,NY,births,5719,births
36087,Rockland County,NY,death_rate,2.27312467214548,death_rate
36103,Suffolk County,NY,deaths,62,deaths
36103,Suffolk County,NY,births,15278,births
36103,Suffolk County,NY,death_rate,4.058122790941223,death_rate
36119,Westchester County,NY,deaths,48,deaths
36119,Westchester County,NY,births,10091,births
36119,Westchester County,NY,death_rate,4.756713903478347,death_rate
37051,Cumberland County,NC,deaths,36,deaths
37051,Cumberland County,NC,births,5401,births
37051,Cumberland County,NC,death_rate,6.665432327346787,death_rate
37063,Durham County,NC,deaths,24,deaths
37063,Durham County,NC,births,4152,births
37063,Durham County,NC,death_rate,5.780346820809248,death_rate
37067,Forsyth County,NC,deaths,34,deaths
37067,Forsyth County,NC,births,4330,births
37067,Forsyth County,NC,death_rate,7.852193995381063,death_rate
37081,Guilford County,NC,deaths,51,deaths
37081,Guilford County,NC,births,6115,births
37081,Guilford County,NC,death_rate,8.340147179067866,death_rate
37119,Mecklenburg County,NC,deaths,78,deaths
37119,Mecklenburg County,NC,births,14650,births
37119,Mecklenburg County,NC,death_rate,5.324232081911262,death_rate
37183,Wake County,NC,deaths,67,deaths
37183,Wake County,NC,births,12578,births
37183,Wake County,NC,death_rate,5.326761011289553,death_rate
39017,Butler County,OH,deaths,37,deaths
39017,Butler County,OH,births,4472,births
39017,Butler County,OH,death_rate,8.273703041144902,death_rate
39035,Cuyahoga County,OH,deaths,121,deaths
39035,Cuyahoga County,OH,births,13870,births
39035,Cuyahoga County,OH,death_rate,8.723864455659697,death_rate
39049,Franklin County,OH,deaths,140,deaths
39049,Franklin County,OH,births,18338,births
39049,Franklin County,OH,death_rate,7.634420329370705,death_rate
39061,Hamilton County,OH,deaths,96,deaths
39061,Hamilton County,OH,births,10835,births
39061,Hamilton County,OH,death_rate,8.860175357637285,death_rate
39093,Lorain County,OH,deaths,21,deaths
39093,Lorain County,OH,births,3199,births
39093,Lorain County,OH,death_rate,6.564551422319474,death_rate
39095,Lucas County,OH,deaths,40,deaths
39095,Lucas County,OH,births,5418,births
39095,Lucas County,OH,death_rate,7.382798080472499,death_rate
39113,Montgomery County,OH,deaths,46,deaths
39113,Montgomery County,OH,births,6480,births
39113,Montgomery County,OH,death_rate,7.098765432098766,death_rate
39151,Stark County,OH,deaths,26,deaths
39151,Stark County,OH,births,4075,births
39151,Stark County,OH,death_rate,6.380368098159509,death_rate
39153,Summit County,OH,deaths,42,deaths
39153,Summit County,OH,births,5934,births
39153,Summit County,OH,death_rate,7.077856420626896,death_rate
40027,Cleveland County,OK,deaths,18,deaths
40027,Cleveland County,OK,births,2833,births
40027,Cleveland County,OK,death_rate,6.353688669255207,death_rate
40109,Oklahoma County,OK,deaths,76,deaths
40109,Oklahoma County,OK,births,11255,births
40109,Oklahoma County,OK,death_rate,6.752554420257663,death_rate
40143,Tulsa County,OK,deaths,65,deaths
40143,Tulsa County,OK,births,8933,births
40143,Tulsa County,OK,death_rate,7.276390910108586,death_rate
41005,Clackamas County,OR,deaths,12,deaths
41005,Clackamas County,OR,births,3886,births
41005,Clackamas County,OR,death_rate,3.0880082346886257,death_rate
41039,Lane County,OR,deaths,14,deaths
41039,Lane County,OR,births,3327,births
41039,Lane County,OR,death_rate,4.207995190862639,death_rate
41047,Marion County,OR,deaths,21,deaths
41047,Marion County,OR,births,4183,births
41047,Marion County,OR,death_rate,5.020320344250538,death_rate
41051,Multnomah County,OR,deaths,35,deaths
41051,Multnomah County,OR,births,8211,births
41051,Multnomah County,OR,death_rate,4.262574595055414,death_rate
41067,Washington County,OR,deaths,21,deaths
41067,Washington County,OR,births,6425,births
41067,Washington County,OR,death_rate,3.2684824902723735,death_rate
42003,Allegheny County,PA,deaths,71,deaths
42003,Allegheny County,PA,births,12822,births
42003,Allegheny County,PA,death_rate,5.537357666510685,death_rate
42011,Berks County,PA,deaths,27,deaths
42011,Berks County,PA,births,4602,births
42011,Berks County,PA,death_rate,5.867014341590613,death_rate
42017,Bucks County,PA,deaths,26,deaths
